Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	STSiteStool	0.0586957139968667	297	148	3.58262435200922e-42	1.97897345158604e-41
STSite	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_influenzae	STSitePosterior_fornix	-0.0518276253108543	297	107	4.4979011186776e-42	2.42677455705396e-41
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	STSiteStool	0.0920563856156606	297	148	1.95309200717689e-40	1.02981214923872e-39
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	STSiteStool	0.094742878514948	297	147	6.65524231161554e-40	3.43114714732179e-39
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	STSiteStool	0.0404304468809085	297	142	3.01286925872409e-39	1.51953406092172e-38
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_gnavus	STSiteStool	0.00294775325661314	297	116	1.23388759583384e-38	6.09067919645639e-38
STSite	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified	STSiteStool	-0.015530983514276	297	199	1.40580000261108e-38	6.79470001262021e-38
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	STSiteStool	-0.0106650314779233	297	166	1.57665157724733e-38	7.46496256982409e-38
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	STSitePosterior_fornix	-0.0164836356891712	297	156	3.62897421007725e-38	1.68384403347584e-37
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_mucosa	STSitePosterior_fornix	-0.0282205595332346	297	95	3.91685506865683e-38	1.78178505083997e-37
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Lautropia|s__Lautropia_mirabilis	STSitePosterior_fornix	-0.0110454346497308	297	97	5.83097309629084e-38	2.60151107372976e-37
STSite	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus	STSiteStool	0.0356494564720617	297	108	1.38741147439392e-37	6.07319739734698e-37
STSite	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	STSiteStool	0.0160615393102544	297	129	1.81947722261791e-37	7.81701325272879e-37
STSite	k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis	STSitePosterior_fornix	-0.0119211382566057	297	96	1.1155008387416e-36	4.70538535614637e-36
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	STSiteStool	-0.0121462491112978	297	205	1.96544951481676e-34	8.14257656138373e-34
STSite	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	STSitePosterior_fornix	-0.020083681669574	297	115	7.7152382228181e-34	3.14023731174351e-33
STSite	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca	STSitePosterior_fornix	-0.0243681160299242	297	92	3.27262457489558e-33	1.30904982995823e-32
